FREQ;Frequency;TENOR;Tenor;DECIMALS;TIME_PERIOD;OBS_VALUE
B;Business;2Y;2 years;3;2019-01-02;1.04
B;Business;2Y;2 years;3;2019-01-03;1.01
B;Business;2Y;2 years;3;2019-01-04;1.001
B;Business;2Y;2 years;3;2019-01-07;1.006
B;Business;2Y;2 years;3;2019-01-08;1.041
B;Business;2Y;2 years;3;2019-01-09;1.069
B;Business;2Y;2 years;3;2019-01-10;1.105
B;Business;2Y;2 years;3;2019-01-11;1.102
B;Business;2Y;2 years;3;2019-01-14;1.102
B;Business;2Y;2 years;3;2019-01-15;1.106
B;Business;2Y;2 years;3;2019-01-16;1.129
B;Business;2Y;2 years;3;2019-01-17;1.123
B;Business;2Y;2 years;3;2019-01-18;1.135
B;Business;2Y;2 years;3;2019-01-21;1.139
B;Business;2Y;2 years;3;2019-01-22;1.144
B;Business;2Y;2 years;3;2019-01-23;1.143
B;Business;2Y;2 years;3;2019-01-24;1.146
B;Business;2Y;2 years;3;2019-01-25;1.152
B;Business;2Y;2 years;3;2019-01-28;1.155
B;Business;2Y;2 years;3;2019-01-29;1.163
B;Business;2Y;2 years;3;2019-01-30;1.168
B;Business;2Y;2 years;3;2019-01-31;1.167
B;Business;2Y;2 years;3;2019-02-01;1.157
B;Business;2Y;2 years;3;2019-02-04;1.16
B;Business;2Y;2 years;3;2019-02-05;1.168
B;Business;2Y;2 years;3;2019-02-06;1.16
B;Business;2Y;2 years;3;2019-02-07;1.135
B;Business;2Y;2 years;3;2019-02-08;1.124
B;Business;2Y;2 years;3;2019-02-11;1.132
B;Business;2Y;2 years;3;2019-02-12;1.147
B;Business;2Y;2 years;3;2019-02-13;1.106
B;Business;2Y;2 years;3;2019-02-14;1.091
B;Business;2Y;2 years;3;2019-02-15;1.099
B;Business;2Y;2 years;3;2019-02-18;1.118
B;Business;2Y;2 years;3;2019-02-19;1.105
B;Business;2Y;2 years;3;2019-02-20;1.106
B;Business;2Y;2 years;3;2019-02-21;1.116
B;Business;2Y;2 years;3;2019-02-22;1.111
B;Business;2Y;2 years;3;2019-02-25;1.113
B;Business;2Y;2 years;3;2019-02-26;1.121
B;Business;2Y;2 years;3;2019-02-27;1.127
B;Business;2Y;2 years;3;2019-02-28;1.139
B;Business;2Y;2 years;3;2019-03-01;1.153
B;Business;2Y;2 years;3;2019-03-04;1.15
B;Business;2Y;2 years;3;2019-03-05;1.149
B;Business;2Y;2 years;3;2019-03-06;1.147
B;Business;2Y;2 years;3;2019-03-07;1.124
B;Business;2Y;2 years;3;2019-03-08;1.118
B;Business;2Y;2 years;3;2019-03-11;1.145
B;Business;2Y;2 years;3;2019-03-12;1.154
B;Business;2Y;2 years;3;2019-03-13;1.152
B;Business;2Y;2 years;3;2019-03-14;1.157
B;Business;2Y;2 years;3;2019-03-15;1.164
B;Business;2Y;2 years;3;2019-03-18;1.176
B;Business;2Y;2 years;3;2019-03-19;1.176
B;Business;2Y;2 years;3;2019-03-20;1.181
B;Business;2Y;2 years;3;2019-03-21;1.225
B;Business;2Y;2 years;3;2019-03-22;1.242
B;Business;2Y;2 years;3;2019-03-25;1.246
B;Business;2Y;2 years;3;2019-03-26;1.251
B;Business;2Y;2 years;3;2019-03-27;1.256
B;Business;2Y;2 years;3;2019-03-28;1.259
B;Business;2Y;2 years;3;2019-03-29;1.268
B;Business;2Y;2 years;3;2019-04-01;1.278
B;Business;2Y;2 years;3;2019-04-02;1.298
B;Business;2Y;2 years;3;2019-04-03;1.325
B;Business;2Y;2 years;3;2019-04-04;1.316
B;Business;2Y;2 years;3;2019-04-05;1.316
B;Business;2Y;2 years;3;2019-04-08;1.318
B;Business;2Y;2 years;3;2019-04-09;1.326
B;Business;2Y;2 years;3;2019-04-10;1.336
B;Business;2Y;2 years;3;2019-04-11;1.338
B;Business;2Y;2 years;3;2019-04-12;1.346
B;Business;2Y;2 years;3;2019-04-15;1.358
B;Business;2Y;2 years;3;2019-04-16;1.357
B;Business;2Y;2 years;3;2019-04-17;1.364
B;Business;2Y;2 years;3;2019-04-23;1.37
B;Business;2Y;2 years;3;2019-04-24;1.368
B;Business;2Y;2 years;3;2019-04-25;1.36
B;Business;2Y;2 years;3;2019-04-26;1.336
B;Business;2Y;2 years;3;2019-04-29;1.342
B;Business;2Y;2 years;3;2019-04-30;1.347
B;Business;2Y;2 years;3;2019-05-02;1.342
B;Business;2Y;2 years;3;2019-05-03;1.335
B;Business;2Y;2 years;3;2019-05-06;1.33
B;Business;2Y;2 years;3;2019-05-07;1.313
B;Business;2Y;2 years;3;2019-05-08;1.303
B;Business;2Y;2 years;3;2019-05-09;1.311
B;Business;2Y;2 years;3;2019-05-10;1.322
B;Business;2Y;2 years;3;2019-05-13;1.317
B;Business;2Y;2 years;3;2019-05-14;1.32
B;Business;2Y;2 years;3;2019-05-15;1.307
B;Business;2Y;2 years;3;2019-05-16;1.325
B;Business;2Y;2 years;3;2019-05-20;1.318
B;Business;2Y;2 years;3;2019-05-21;1.316
B;Business;2Y;2 years;3;2019-05-22;1.322
B;Business;2Y;2 years;3;2019-05-23;1.317
B;Business;2Y;2 years;3;2019-05-24;1.313
B;Business;2Y;2 years;3;2019-05-27;1.308
B;Business;2Y;2 years;3;2019-05-28;1.308
B;Business;2Y;2 years;3;2019-05-29;1.3
B;Business;2Y;2 years;3;2019-05-31;1.27
B;Business;2Y;2 years;3;2019-06-03;1.189
B;Business;2Y;2 years;3;2019-06-04;1.122
B;Business;2Y;2 years;3;2019-06-05;1.176
B;Business;2Y;2 years;3;2019-06-06;1.165
B;Business;2Y;2 years;3;2019-06-07;1.15
B;Business;2Y;2 years;3;2019-06-11;1.174
B;Business;2Y;2 years;3;2019-06-12;1.175
B;Business;2Y;2 years;3;2019-06-13;1.164
B;Business;2Y;2 years;3;2019-06-14;1.161
B;Business;2Y;2 years;3;2019-06-17;1.156
B;Business;2Y;2 years;3;2019-06-18;1.135
B;Business;2Y;2 years;3;2019-06-19;1.158
B;Business;2Y;2 years;3;2019-06-20;1.189
B;Business;2Y;2 years;3;2019-06-21;1.216
B;Business;2Y;2 years;3;2019-06-24;1.216
B;Business;2Y;2 years;3;2019-06-25;1.225
B;Business;2Y;2 years;3;2019-06-26;1.234
B;Business;2Y;2 years;3;2019-06-27;1.232
B;Business;2Y;2 years;3;2019-06-28;1.235
B;Business;2Y;2 years;3;2019-07-01;1.235
B;Business;2Y;2 years;3;2019-07-02;1.256
B;Business;2Y;2 years;3;2019-07-03;1.256
B;Business;2Y;2 years;3;2019-07-04;1.258
B;Business;2Y;2 years;3;2019-07-05;1.273
B;Business;2Y;2 years;3;2019-07-08;1.264
B;Business;2Y;2 years;3;2019-07-09;1.27
B;Business;2Y;2 years;3;2019-07-10;1.282
B;Business;2Y;2 years;3;2019-07-11;1.294
B;Business;2Y;2 years;3;2019-07-12;1.309
B;Business;2Y;2 years;3;2019-07-15;1.308
B;Business;2Y;2 years;3;2019-07-16;1.305
B;Business;2Y;2 years;3;2019-07-17;1.299
B;Business;2Y;2 years;3;2019-07-18;1.301
B;Business;2Y;2 years;3;2019-07-19;1.298
B;Business;2Y;2 years;3;2019-07-22;1.288
B;Business;2Y;2 years;3;2019-07-23;1.274
B;Business;2Y;2 years;3;2019-07-24;1.272
B;Business;2Y;2 years;3;2019-07-25;1.28
B;Business;2Y;2 years;3;2019-07-26;1.273
B;Business;2Y;2 years;3;2019-07-29;1.267
B;Business;2Y;2 years;3;2019-07-30;1.257
B;Business;2Y;2 years;3;2019-07-31;1.254
B;Business;2Y;2 years;3;2019-08-01;1.257
B;Business;2Y;2 years;3;2019-08-02;1.212
B;Business;2Y;2 years;3;2019-08-05;1.177
B;Business;2Y;2 years;3;2019-08-06;1.18
B;Business;2Y;2 years;3;2019-08-07;1.148
B;Business;2Y;2 years;3;2019-08-08;1.175
B;Business;2Y;2 years;3;2019-08-09;1.177
B;Business;2Y;2 years;3;2019-08-12;1.176
B;Business;2Y;2 years;3;2019-08-13;1.174
