Period\Unit:,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_11M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_3M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_4M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_5M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_6M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_7M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_8M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9M,YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_9Y6M
2023-04-05,2.788045,2.768762,2.847553,2.852205,2.850977,2.844897,2.834854,2.821610,2.805820,2.293495
2023-04-04,2.857695,2.849540,2.770934,2.806347,2.831866,2.849011,2.859098,2.863270,2.862518,2.406410
2023-04-03,2.846345,2.838910,2.750815,2.787943,2.815009,2.833540,2.844862,2.850126,2.850333,2.378979
2023-03-31,2.814924,2.807452,2.753528,2.780127,2.799155,2.811718,2.818782,2.821193,2.819692,2.396733
2023-03-30,2.836722,2.834080,2.709629,2.750239,2.781392,2.804424,2.820508,2.830672,2.835814,2.439876
2023-03-29,2.749622,2.738387,2.746320,2.760032,2.768040,2.771221,2.770343,2.766074,2.758998,2.385048
2023-03-28,2.732299,2.716733,2.760609,2.770338,2.773963,2.772524,2.766918,2.757919,2.746189,2.340420
2023-03-27,2.742238,2.726071,2.746874,2.765081,2.774831,2.777628,2.774755,2.767304,2.756203,2.338386
2023-03-24,2.673629,2.643286,2.793422,2.796224,2.789213,2.774672,2.754465,2.730109,2.702834,2.193534
2023-03-23,2.745564,2.727907,2.802587,2.806008,2.804269,2.798265,2.788770,2.776452,2.761886,2.310229
2023-03-22,2.822020,2.812644,2.818226,2.829614,2.836416,2.839285,2.838800,2.835470,2.829745,2.431340
2023-03-21,2.685818,2.667432,2.797757,2.785348,2.771221,2.755735,2.739201,2.721887,2.704026,2.324753
