Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691296
,EXR.D.NOK.EUR.SP00.A
,"ECB reference exchange rate, Norwegian krone/Euro, 2:15 pm (C.E.T.)"
Collection:,Average of observations through period (A)
Period\Unit:,[Norwegian krone ]
2023-04-24,11.6470
2023-04-21,11.6505
2023-04-20,11.6040
2023-04-19,11.5335
2023-04-18,11.4675
2023-04-17,11.3640
2023-04-14,11.4020
2023-04-13,11.4570
2023-04-12,11.4745
2023-04-11,11.5435
2023-04-06,11.3855
2023-04-05,11.3990
2023-04-04,11.2345
2023-04-03,11.2515
2023-03-31,11.3940
2023-03-30,11.3570
2023-03-29,11.3005
2023-03-28,11.3240
2023-03-27,11.3380
2023-03-24,11.3065
2023-03-23,11.2840
2023-03-22,11.3320
2023-03-21,11.3125
2023-03-20,11.4210
2023-03-17,11.4218
2023-03-16,11.4487
2023-03-15,11.3400
2023-03-14,11.3350
2023-03-13,11.3893
2023-03-10,11.2900
2023-03-09,11.2715
2023-03-08,11.2205
2023-03-07,11.1935
2023-03-06,11.1109
2023-03-03,11.0610
2023-03-02,11.0850
2023-03-01,11.0365
2023-02-28,10.9713
2023-02-27,10.9635
2023-02-24,10.9370
2023-02-23,10.9545
2023-02-22,10.9665
2023-02-21,10.9468
2023-02-20,10.9683
2023-02-17,11.0150
2023-02-16,10.9513
2023-02-15,10.9193
2023-02-14,10.8778
2023-02-13,10.8213
2023-02-10,10.8710
2023-02-09,10.9123
2023-02-08,11.0260
2023-02-07,11.1253
2023-02-06,11.0428
2023-02-03,10.9783
2023-02-02,10.9535
2023-02-01,10.8569
2023-01-31,10.9083
2023-01-30,10.7925
2023-01-27,10.7600
2023-01-26,10.7620
2023-01-25,10.7896
2023-01-24,10.7193
2023-01-23,10.6835
2023-01-20,10.7135
2023-01-19,10.7460
2023-01-18,10.6553
2023-01-17,10.7463
2023-01-16,10.6945
2023-01-13,10.6945
2023-01-12,10.7228
2023-01-11,10.7380
2023-01-10,10.6785
2023-01-09,10.6108
2023-01-06,10.8070
2023-01-05,10.7248
2023-01-04,10.7380
2023-01-03,10.5280
2023-01-02,10.5135
2022-12-30,10.5138
2022-12-29,10.5500
2022-12-28,10.4495
2022-12-27,10.4895
2022-12-23,10.4448
2022-12-22,10.4123
2022-12-21,10.4309
2022-12-20,10.5098
2022-12-19,10.5025
2022-12-16,10.4833
2022-12-15,10.4013
2022-12-14,10.3620
2022-12-13,10.4679
2022-12-12,10.5548
2022-12-09,10.5345
